Country,BiocapPerCap_1971
Afghanistan,0.988136739
Albania,1.334947242
Algeria,1.159316977
Angola,7.635646755
Argentina,8.616715447
Australia,23.94443264
Austria,3.237618137
Bahamas,20.95647559
Barbados,0.382738991
Bangladesh,0.432113939
Bermuda,0.156476544
Bolivia,40.91361076
Botswana,10.42760098
Brazil,17.41512265
Bulgaria,2.42913437
Myanmar,2.407412475
Burundi,0.870153394
Cameroon,4.924973603
Canada,23.17791345
Cabo Verde,0.960803494
Central African Republic,19.10824078
Sri Lanka,0.548128262
Chad,6.419431556
Chile,5.368106
Colombia,8.073638249
Comoros,0.58568809
Congo,34.31608851
Costa Rica,4.153396244
Cuba,0.851340502
Cyprus,1.022077036
Czechoslovakia,2.425298602
Benin,2.445494604
Denmark,4.55534147
Dominica,1.044772068
Dominican Republic,0.935454194
Ecuador,5.243771769
Egypt,0.457818051
El Salvador,1.067056314
Ethiopia PDR,1.583786499
Fiji,3.790628374
Finland,14.66941255
France,2.608697511
French Polynesia,2.473403505
Djibouti,2.546917251
Gabon,72.13413408
Gambia,3.377079035
Germany,1.457943431
Ghana,2.389406714
Greece,1.581408707
Guadeloupe,0.83271391
Guatemala,1.939171554
Guinea,5.278576905
Guyana,82.33822143
Haiti,0.484126067
Honduras,5.858725299
Hungary,1.888596028
India,0.486564478
Indonesia,2.165504701
"Iran, Islamic Republic of",1.308421982
Ireland,4.955034567
Israel,0.485899833
Italy,1.065460561
Côte d'Ivoire,5.054409934
Jamaica,0.591063252
Japan,0.807728558
Jordan,0.425366427
Kenya,1.416943805
Cambodia,1.441093924
"Korea, Democratic People's Republic of",1.11721231
"Korea, Republic of",1.110044583
Lao People's Democratic Republic,2.930662321
Lebanon,0.389647406
Lesotho,1.718451936
Liberia,8.09157004
Madagascar,8.057819619
Malawi,1.098747155
Malaysia,4.978109739
Mali,2.866790388
Malta,0.731748826
Martinique,0.501622963
Mauritania,14.71263312
Mauritius,1.143306072
Mexico,2.595704111
Mongolia,39.21334743
Morocco,1.153033428
Mozambique,5.379413761
Nepal,0.66173515
Netherlands,1.072924955
New Zealand,15.63287242
Nicaragua,7.104590908
Niger,2.276722709
Nigeria,1.030135577
Norway,9.662646585
Pakistan,0.527886879
Panama,8.988882234
Papua New Guinea,10.09095824
Paraguay,33.79363416
Peru,8.248972919
Philippines,0.8293151
Poland,2.177664951
Portugal,1.471306635
Guinea-Bissau,6.262763652
Timor-Leste,3.248716876
Zimbabwe,1.731298055
Réunion,0.263400572
Romania,2.321810847
Rwanda,0.77109247
Saint Lucia,0.88685479
Sao Tome and Principe,2.723388691
Senegal,3.503240277
Sierra Leone,2.109657297
Somalia,3.665152807
South Africa,2.29076628
Spain,1.387467652
Sudan (former),5.334219337
Eswatini,2.479600377
Sweden,12.12225185
Switzerland,1.222337687
Syrian Arab Republic,0.910026079
"Tanzania, United Republic of",2.29905232
Thailand,1.331332719
Togo,1.109696762
Tonga,1.640690174
Trinidad and Tobago,2.431459363
Tunisia,1.158345871
Turkey,2.467834324
Uganda,1.646954278
USSR,4.898194138
United Kingdom,1.090339651
United States of America,4.711300662
Burkina Faso,1.828385169
Uruguay,10.62036936
"Venezuela, Bolivarian Republic of",6.051875848
Viet Nam,0.954057791
Samoa,2.071231795
Yugoslav SFR,2.056578041
Yemen,1.865458129
"Congo, Democratic Republic of",10.79059964
Zambia,6.35079721
Belgium,0.876256969
Luxembourg,2.229658618
China,0.897558076
