Country,BiocapPerCap_1996
Armenia,0.502208436
Afghanistan,0.640589225
Albania,0.83711866
Algeria,0.685933968
Angola,3.487204384
Antigua and Barbuda,1.127963384
Argentina,6.53101244
Australia,18.38064796
Austria,3.167051879
Bahamas,12.65583568
Bahrain,1.158124061
Barbados,0.228911345
Bangladesh,0.340567595
Bermuda,0.133714543
Bhutan,7.058653909
Bolivia,24.64432222
Botswana,4.540213478
Brazil,11.01106426
Aruba,0.715000648
Brunei Darussalam,4.066826168
Bulgaria,1.935866424
Myanmar,1.760383932
Burundi,0.576195119
Cameroon,2.47103438
Canada,18.24972984
Cabo Verde,0.715507155
Cayman Islands,0.553819592
Central African Republic,10.49288444
Sri Lanka,0.442157793
Chad,3.365705797
Chile,3.867216771
Colombia,4.817710755
Comoros,0.448588598
Congo,16.73221706
Costa Rica,2.038425891
Cuba,0.733900483
Cyprus,0.565614734
Azerbaijan,0.633455425
Benin,1.242166691
Denmark,4.760571637
Dominica,1.216561594
Dominican Republic,0.59244932
Belarus,2.754698526
Ecuador,3.103487041
Egypt,0.478719719
El Salvador,0.715139215
Equatorial Guinea,6.773440404
Estonia,8.628213567
Fiji,2.724532045
Finland,13.86727057
France,2.945035212
French Guiana,195.0766311
French Polynesia,1.3341667
Djibouti,1.047799471
Gabon,38.50830561
Gambia,1.214945812
Germany,1.632730416
Bosnia and Herzegovina,1.662490637
Ghana,1.435533113
Greece,1.6816958
Guadeloupe,0.520387705
Guatemala,1.42065735
Guinea,2.85911913
Guyana,70.84454445
Haiti,0.280744035
Honduras,2.751672012
Hungary,2.174230204
Croatia,2.598904944
India,0.455412924
Indonesia,1.434167535
"Iran, Islamic Republic of",0.96158918
Iraq,0.375692666
Ireland,4.203124598
Israel,0.36448043
Italy,1.082747418
Côte d'Ivoire,2.31242623
Kazakhstan,3.175967493
Jamaica,0.475034387
Japan,0.650890002
Jordan,0.206161761
Kyrgyzstan,1.373795713
Kenya,0.658818298
Cambodia,0.90337587
"Korea, Democratic People's Republic of",0.694771488
"Korea, Republic of",0.790372272
Latvia,5.840703915
Lao People's Democratic Republic,1.574027507
Lebanon,0.578319464
Lesotho,1.015491297
Liberia,5.120993147
Libyan Arab Jamahiriya,0.80392774
Lithuania,3.210170276
Madagascar,3.94862067
Malawi,0.638075373
Malaysia,3.113357754
Mali,2.115709199
Malta,0.667583149
Martinique,0.485247873
Mauritania,7.205317081
Mauritius,0.836650509
Mexico,1.570226678
Mongolia,18.85623622
Morocco,0.993081051
Mozambique,3.097120972
Moldova,0.907304643
Nepal,0.548158995
Netherlands,0.96784202
Macedonia TFYR,1.640507975
New Zealand,12.70122054
Nicaragua,2.861576536
Niger,1.344812633
Nigeria,0.864182939
Norway,8.854094065
Pakistan,0.44791094
Panama,4.220918128
Czech Republic,2.473962695
Papua New Guinea,5.524222205
Paraguay,13.9337795
Peru,4.744172716
Philippines,0.629767901
Poland,1.958880508
Portugal,1.382372528
Guinea-Bissau,4.087488968
Timor-Leste,2.437641165
Eritrea,2.551633459
Qatar,4.76411305
Zimbabwe,0.861690885
Réunion,0.223903991
Romania,2.066102928
Rwanda,0.439165831
Russian Federation,6.430724041
Serbia and Montenegro,1.220490411
Saint Lucia,0.620677995
Sao Tome and Principe,1.327670741
Saudi Arabia,0.732238663
Senegal,1.618287581
Sierra Leone,1.37988766
Slovenia,2.359128022
Slovakia,2.868234433
Singapore,0.031377952
Somalia,1.62458908
South Africa,1.334407033
Spain,1.635068078
Sudan (former),2.8743168
Tajikistan,0.432128357
Eswatini,1.115708226
Sweden,10.9998165
Switzerland,1.342953683
Syrian Arab Republic,1.010281736
Turkmenistan,3.090154107
"Tanzania, United Republic of",1.310182382
Thailand,1.103722909
Togo,0.702619057
Tonga,1.230080425
Trinidad and Tobago,1.754535509
Oman,2.642398618
Tunisia,1.136060115
Turkey,1.854695824
United Arab Emirates,1.954506158
Uganda,0.850973211
United Kingdom,1.358289609
Ukraine,1.444372635
United States of America,3.992914044
Burkina Faso,1.338559012
Uruguay,9.701652677
Uzbekistan,0.838935427
"Venezuela, Bolivarian Republic of",3.852950993
Viet Nam,0.798499129
Ethiopia,0.621922225
Samoa,1.858002957
Yemen,0.662107381
"Congo, Democratic Republic of",4.894291033
Zambia,3.181410506
Belgium,0.978330109
Luxembourg,1.839574364
China,0.890793839
