country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore
Greece,1986,84,BiocapPerCap,1.132598552,0.168779656,0.229510516,0.193815405,0.054550184,0,1.779254314,3A
Guadeloupe,1986,87,BiocapPerCap,0.195944473,0.036857304,0.175654498,0.231417009,0.003237104,0,0.643110388,3A
Guatemala,1986,89,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.55541537,2A
Guinea,1986,90,BiocapPerCap,0.354382795,1.676417701,1.582159006,0.679095241,0.020123999,0,4.312178742,3A
Guyana,1986,91,BiocapPerCap,0.504921419,1.594965718,62.0241492,5.414018068,0.039967258,0,69.57802166,3A
Haiti,1986,93,BiocapPerCap,0.277650551,0.052445049,0.015323023,0.019049237,0.031799066,0,0.396266926,3A
Honduras,1986,95,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,3.790707814,2B
Hungary,1986,97,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.472278692,2A
India,1986,100,BiocapPerCap,0.320912846,0.006111701,0.031538172,0.046376336,0.02835571,0,0.433294766,3A
Indonesia,1986,101,BiocapPerCap,0.356599056,0.093603007,0.563095703,0.570187385,0.04721558,0,1.630700732,3A
"Iran, Islamic Republic of",1986,102,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.009890123,2A
Iraq,1986,103,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.402980423,2A
Ireland,1986,104,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,4.192655061,2A
Israel,1986,105,BiocapPerCap,0.300737225,0.013461434,0.04654782,0.030068043,0.05574867,0,0.446563193,3A
Italy,1986,106,BiocapPerCap,0.593535586,0.047364203,0.338485292,0.065645495,0.052782187,0,1.097812763,3A
Côte d'Ivoire,1986,107,BiocapPerCap,0.828508198,1.089516874,0.912338687,0.078939638,0.054029247,0,2.963332645,3A
Jamaica,1986,109,BiocapPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.484185069,2A
Japan,1986,110,BiocapPerCap,0.151787398,0.010616742,0.364505243,0.105324024,0.079052486,0,0.711285892,3A
Jordan,1986,112,BiocapPerCap,0.078994864,0.044458385,0.061470873,0.006856665,0.023354193,0,0.21513498,3A
Kenya,1986,114,BiocapPerCap,0.335881543,0.508720479,0.039549338,0.039988826,0.036036985,0,0.960177172,3A
