Countrycode,Country,Efindex,Govsize_subindex,Legal_subindex,Soundmoney_subindex,Trade_subindex,Regulation_subindex
MYS,Malaysia,7.34,6.44,5.57,8.23,7.79,8.67
MLI,Mali,5.91,5.71,3.46,7.30,6.87,6.20
MLT,Malta,7.97,7.08,6.45,9.55,8.42,8.34
MRT,Mauritania,6.11,5.86,3.71,8.05,6.02,6.90
MUS,Mauritius,8.07,8.05,6.86,9.44,8.48,7.50
MEX,Mexico,6.93,7.90,4.18,7.89,7.64,7.05
MDA,Moldova,6.66,6.38,4.34,8.15,7.48,6.93
MNG,Mongolia,7.43,7.86,5.81,9.10,6.73,7.63
MNE,Montenegro,6.84,5.93,4.89,8.15,8.17,7.04
MAR,Morocco,6.69,6.22,5.56,7.29,7.08,7.27
MOZ,Mozambique,5.60,5.43,4.10,6.94,6.52,5.00
MMR,Myanmar,5.63,6.81,3.61,6.67,5.21,5.85
NAM,Namibia,6.53,5.71,6.36,6.46,6.48,7.66
NPL,Nepal,6.49,7.22,4.54,6.81,6.63,7.24
NLD,Netherlands,7.72,4.34,8.11,9.42,8.66,8.06
NZL,New Zealand,8.50,6.64,8.61,9.51,8.61,9.13
NIC,Nicaragua,7.01,6.64,4.43,9.15,7.80,7.01
NER,Niger,5.83,6.24,3.74,7.08,5.57,6.54
NGA,Nigeria,6.86,8.59,3.32,8.57,6.08,7.75
NOR,Norway,7.62,4.93,8.48,9.55,7.57,7.59
OMN,Oman,6.76,4.44,6.18,8.74,7.67,6.77
PAK,Pakistan,5.91,7.02,3.63,6.67,5.85,6.36
PAN,Panama,7.66,7.87,5.17,9.74,8.65,6.87
PNG,Pap. New Guinea,6.36,6.09,4.18,6.47,7.32,7.71
PRY,Paraguay,7.03,8.30,3.87,9.43,7.32,6.25
PER,Peru,7.49,7.53,4.73,9.72,8.24,7.22
PHL,Philippines,7.32,8.29,4.21,9.52,7.16,7.41
POL,Poland,7.24,5.63,5.78,9.70,7.89,7.19
PRT,Portugal,7.52,6.20,6.84,9.39,8.35,6.81
QAT,Qatar,7.07,5.69,6.14,8.50,7.54,7.46
ROU,Romania,7.68,6.99,6.13,9.37,8.43,7.48
RUS,Russia,6.78,6.33,4.83,9.31,6.83,6.60
RWA,Rwanda,7.26,5.25,6.92,9.18,7.11,7.84
SAU,Saudi Arabia,6.52,5.20,5.30,8.97,6.32,6.82
SEN,Senegal,6.17,7.02,4.28,7.22,6.70,5.63
SRB,Serbia,6.89,6.37,5.03,8.24,7.62,7.17
SYC,Seychelles,7.16,6.27,5.76,9.09,7.29,7.38
SLE,Sierra Leone,5.63,6.94,3.88,6.54,6.05,4.74
SGP,Singapore,8.71,7.20,8.22,9.85,9.29,8.98
SVK,Slovak Rep,7.51,6.49,5.68,9.46,8.30,7.59
SVN,Slovenia,7.15,5.25,6.22,9.41,7.90,6.98
ZAF,South Africa,6.61,5.77,5.05,8.17,6.87,7.20
ESP,Spain,7.55,6.09,6.76,9.40,8.05,7.46
LKA,Sri Lanka,6.57,7.63,4.91,7.58,5.83,6.91
SDN,Sudan,4.67,7.64,3.03,4.40,2.31,5.95
SUR,Suriname,6.65,6.37,4.69,7.24,7.22,7.73
SWZ,Swaziland (Eswatini),6.52,5.25,4.88,7.72,7.01,7.74
SWE,Sweden,7.56,4.54,7.75,9.30,8.18,8.05
CHE,Switzerland,8.40,7.60,8.40,9.93,7.62,8.48
SYR,Syria,5.05,5.72,3.24,5.93,4.97,5.37
TWN,Taiwan,7.85,7.38,6.76,9.75,7.73,7.64
TJK,Tajikistan,6.05,5.09,5.04,7.54,5.94,6.63
TZA,Tanzania,6.77,6.66,5.69,8.27,6.24,7.00
THA,Thailand,6.86,6.78,4.67,8.59,7.24,7.00
TLS,Timor-Leste,5.99,4.45,3.27,8.11,7.78,6.33
TGO,Togo,6.21,6.51,5.24,6.98,5.67,6.63
TTO,Trinidad & Tobago,6.70,5.40,4.56,9.11,7.81,6.60
TUN,Tunisia,6.20,5.63,5.29,6.90,6.76,6.42
TUR,Turkey,6.67,6.60,4.62,8.85,7.27,6.03
UGA,Uganda,7.39,7.48,4.71,9.35,7.63,7.79
UKR,Ukraine,5.96,7.16,4.44,4.99,6.78,6.44
ARE,United Arab Emirates,7.17,5.85,5.67,9.06,8.05,7.24
GBR,United Kingdom,8.09,6.21,7.78,9.67,8.43,8.35
USA,United States,8.19,7.16,7.44,9.80,7.67,8.86
URY,Uruguay,7.05,6.32,5.23,9.04,7.86,6.80
VEN,Venezuela,2.58,4.58,1.98,0.69,3.18,2.49
VNM,Vietnam,6.27,6.70,5.00,6.68,6.27,6.73
YEM,"Yemen, Rep.",5.84,7.11,3.16,7.96,5.93,5.04
ZMB,Zambia,6.84,6.61,5.22,8.80,7.10,6.46
ZWE,Zimbabwe,5.69,5.49,4.05,8.42,3.75,6.73
