Country,Countrycode,BiocapPerCap_1996,BiocapPerCap_1986,BiocapPerCap_1971,TEF_Consumption,Total_Biocapacity,Overshoot,GDPPCint_2014,GDPPCint_2016,GDPPCint_2018,GDPPCus_2014,GDPPCus_2016,GDPPCus_2018,Percenturbanpop_2018,Percenturbanpop_2016,Percenturbanpop_2014,GenderGapIndex_2018,GGGeconomicsub_2018,GGGeducationsub_2018,GGGhealthsub_2018,GGGpoliticalsub_2018,Efindex,Govsize_subindex,Legal_subindex,Soundmoney_subindex,Trade_subindex,Regulation_subindex
Bolivia,BOL,24.64432222,30.02505257,40.91361076,3.2,15.8,12.64,6239.548296,6620.438018,6986.046487,2286.013198,2425.56159,2559.511317,69.425,68.738,68.047,0.748,0.63,0.976,0.979,0.408,6.14,5.89,3.48,9.34,7.03,4.93
Bosnia and Herzegovina,BIH,1.662490637,NA,NA,3.7,1.9,-1.8,10783.42355,11790.63456,12711.83977,5117.140156,5595.09967,6032.246199,48.245,47.518,46.84,0.712,0.599,0.981,0.98,0.29,6.69,5.63,4.19,8.31,7.84,7.5
Botswana,BWA,4.540213478,5.954785152,10.42760098,2.7,3.1,0.39,16175.23945,16037.20896,16518.23341,7864.253281,7797.144122,8031.013803,69.446,67.933,66.368,0.715,0.802,1,0.98,0.079,7.37,6.37,5.88,9.26,7.44,7.9
Brazil,BRA,11.01106426,13.06717525,17.41512265,2.8,8.7,5.89,15480.86796,14200.31477,14282.71701,11951.21238,10962.62678,11026.24121,86.569,86.042,85.492,0.681,0.645,1,0.98,0.101,6.23,5.65,4.53,9.42,7.13,4.41
British Virgin Islands,VGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.723,46.957,46.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,BRN,4.066826168,5.328760462,NA,4.2,2.8,-1.43,76448.59333,72369.52337,71802.27172,33471.14645,31685.22545,31436.8682,77.629,76.99,76.332,0.686,0.752,0.99,0.969,0.031,6.62,3.33,5.31,8.77,7.16,8.52
Bulgaria,BGR,1.935866424,2.449469231,2.42913437,3.4,3.3,-0.18,16324.33748,17792.67814,19320.75123,7309.415115,7966.882009,8651.094801,75.008,74.329,73.651,0.756,0.708,0.989,0.979,0.346,7.54,7.13,5.28,9.43,8.11,7.74
Burkina Faso,BFA,1.338559012,1.581776429,1.828385169,1.2,1,-0.21,1582.330098,1642.039196,1761.234757,639.7080956,663.8474288,712.0360878,29.358,28.134,26.934,0.629,0.623,0.853,0.963,0.075,6.07,5.73,4.26,6.97,6.49,6.87
Burundi,BDI,0.576195119,0.793194868,0.870153394,0.7,0.4,-0.28,768.4698369,689.0148917,660.330341,245.3267387,219.9614978,210.8042258,13.032,12.388,11.776,0.741,0.839,0.89,0.978,0.255,6.17,6.92,3.53,8.24,5.88,6.27
Cabo Verde,CPV,0.715507155,0.904381311,0.960803494,1.4,0.6,-0.83,6021.628363,6214.080234,6614.167088,3422.748802,3532.140211,3759.553249,65.732,64.784,63.81,0.702,0.684,0.971,0.974,0.178,7.16,7.18,6.04,8.33,7.18,7.09
